1 ,USER:  I enjoy drama
1 ,AGENT: I like the way you think! Who are your favorite directors?
1 ,USER:  David Russell is one of my favorites
1 ,AGENT: Okay! Who are your favorite actors?
1 ,USER:  definitely Jennifer Lawrence
1 ,AGENT: Wow
1 ,USER:  no I don't really like that movie
1 ,AGENT: I think this movie fits your tastes.  How about Joy (2015)?
1 ,USER:  do you need with James McAvoy
1 ,AGENT: Wow
1 ,USER:  that sounds awesome but any others in the X-Men franchise
1 ,AGENT: It's been fun helping you find something you'll like! Come back soon for more recommendations. 
2 ,USER:  hi I'm Sarah I can recommend movies to you could you help me out by telling me what are your favorite genres
2 ,AGENT: Hi
2 ,USER:  hi I'm Sarah I can help you find a good movie to watch what do you mind telling me your favorite genres
2 ,AGENT: I'm sorry
2 ,USER:  I like drama
2 ,AGENT: A movie lover after my own heart! What about your favorite directors?
2 ,USER:  I like David Russell
2 ,AGENT: Okay! Who are your favorite actors?
2 ,USER:  new jennifer lawrence
2 ,AGENT: Wow
2 ,USER:  I already saw that movie
2 ,AGENT: Perhaps you might be interested in this movie. It's called Joy (2015).
2 ,USER:  could you recommend another one
2 ,AGENT: Wow
2 ,USER:  actually I could have a movie Robert De Niro
2 ,AGENT: Perhaps you might be interested in this movie. It's called The Hunger Games: Catching Fire (2013).
2 ,USER:  no I want a movie with Robert De Niro
2 ,AGENT: Wow
2 ,USER:  can I have another recommendation
2 ,AGENT: Perhaps you might be interested in this movie. It's called House at the End of the Street (2012).
2 ,USER:  can I remove Robert De Niro
2 ,AGENT: I'm sorry
2 ,USER:  may have a movie with Robert De Niro
2 ,AGENT: Wow
3 ,USER:  I don't know I guess Tom Cruise
3 ,AGENT: Wow
3 ,USER:  I already saw that one
3 ,AGENT: Perhaps you might be interested in this movie.  It's called Jack Reacher (2012).
3 ,USER:  can I have something with crime
3 ,AGENT: Wow
3 ,USER:  how many movies Emily Blunt
3 ,AGENT: Perhaps you might be interested in this movie.  It's called Edge of Tomorrow (2014).
3 ,USER:  can I get another recommendation
3 ,AGENT: Wow
4 ,USER:  how about drama
4 ,AGENT: Hi
4 ,USER:  I like David Russell
4 ,AGENT: Okay! Who are your favorite actors?
4 ,USER:  that's a good one do you have any others
4 ,AGENT: Perhaps you might be interested in this movie. It's called American Hustle (2013).
4 ,USER:  that's great thanks
4 ,AGENT: If you find that you need further assistance
5 ,USER:  I like romance romantic comedy and fantasy movies
5 ,AGENT: I like the way you think! Who are your favorite directors?
5 ,USER:  I don't have any
5 ,AGENT: Okay! Who are your favorite actors?
5 ,USER:  the one I can think about is probably Johnny Depp or
5 ,AGENT: So
5 ,USER:  can you repeat that
5 ,AGENT: Wow
5 ,USER:  okay thank you
5 ,AGENT: Hi
5 ,USER:  horror movies or romantic comedies
5 ,AGENT: I like the way you think! Who are your favorite directors?
5 ,USER:  yes I seen that movie before
5 ,AGENT: Perhaps you might be interested in this movie.  It's called The Hunger Games: Catching Fire (2013).
5 ,USER:  okay cool what is about
5 ,AGENT: I had so much fun with you! Come back and say hi again soon if you'd like!
5 ,USER:  okay thank you
5 ,AGENT: Hi
6 ,USER:  I like action movies
6 ,AGENT: I like the way you think! Who are your favorite directors?
6 ,USER:  what about another one
6 ,AGENT: Perhaps you might be interested in this movie. It's called Oblivion (2013).
6 ,USER:  okay thanks goodbye
6 ,AGENT: Hi
